Frequency_Hz	Magnitude_Ohms	Phase_Degrees
239.2907	7.571663	-8.419981
240.0863	6.728677	-7.989135
240.882	5.64357	-7.283943
241.6776	4.991516	-6.594376
242.4733	4.482809	-6.047834
243.2689	4.002716	-5.321405
244.0646	3.50073	-4.80224
244.8602	3.17287	-4.273964
245.6559	2.965658	-3.914054
246.4515	2.769755	-3.474507
247.2472	2.484871	-2.988347
248.0428	2.334582	-2.555435
248.8384	2.211092	-2.181467
249.6341	2.048616	-1.804536
250.4297	1.947608	-1.408722
251.2254	1.922303	-1.145669
252.021	1.837489	-0.9188859
252.8167	1.665284	-0.5896818
253.6123	1.600749	-0.2406165
254.408	1.575676	-0.009468691
255.2036	1.521186	0.185123
255.9993	1.414037	0.409326
256.7949	1.354634	0.6675423
257.5906	1.357838	0.9001294
258.3862	1.37004	1.092798
259.1819	1.33039	1.25139
259.9775	1.281509	1.486524
260.7731	1.204976	1.729205
261.5688	1.274243	1.933956
262.3644	1.280897	2.14105
263.1601	1.227432	2.304852
263.9557	1.234833	2.503864
264.7514	1.257918	2.681108
265.547	1.204753	2.860406
266.3427	1.170969	3.034911
267.1383	1.200348	3.194576
267.934	1.226669	3.396256
268.7296	1.217931	3.586453
269.5253	1.222462	3.764286
270.3209	1.255173	3.946608
271.1165	1.244502	4.125213
271.9122	1.272579	4.302795
272.7078	1.279836	4.49564
273.5035	1.278774	4.679869
274.2991	1.304823	4.864719
275.0948	1.333094	5.063598
275.8904	1.362157	5.227693
276.6861	1.377129	5.393588
277.4817	1.420282	5.595004
278.2774	1.45572	5.812222
279.073	1.448868	6.006247
279.8687	1.496626	6.219989
280.6643	1.557468	6.463612
281.46	1.607677	6.664695
282.2556	1.660962	6.857575
283.0512	1.701607	7.083991
283.8469	1.774966	7.303932
284.6425	1.833881	7.539752
285.4382	1.889652	7.802236
286.2338	1.97169	8.059442
287.0295	2.064636	8.349833
287.8251	2.153707	8.66344
288.6208	2.257761	8.937146
289.4164	2.40468	9.219708
290.2121	2.530791	9.546713
291.0077	2.671431	9.902697
291.8034	2.863924	10.24804
292.599	3.054959	10.61787
293.3947	3.25383	10.96788
294.1903	3.449977	11.35869
294.9859	3.656569	11.83041
295.7816	3.980972	12.34208
296.5772	4.374287	12.88099
297.3729	4.796123	13.37329
298.1685	5.297803	13.87466
298.9642	5.827384	14.46357
299.7598	6.401783	15.07731
300.5555	7.141038	15.72403
301.3511	8.03125	16.44581
302.1468	9.104532	17.1713
302.9424	10.43863	17.82957
303.7381	11.94985	18.45903
304.5337	13.76182	19.04513
305.3293	16.0484	19.47016
306.125	18.82483	19.43777
306.9206	21.92085	18.71839
307.7163	25.12897	17.35463
308.5119	28.3929	15.10655
309.3076	31.21821	11.5429
310.1032	32.88635	6.727898
310.8989	33.0402	1.512375
311.6945	31.15404	-3.310818
312.4902	27.96849	-7.027391
313.2858	24.66114	-9.423446
314.0815	21.50368	-10.84147
314.8771	18.445	-11.55867
315.6728	15.74853	-11.50885
316.4684	13.60459	-11.11961
317.264	11.8889	-10.71015
318.0597	10.31575	-10.22282
318.8553	8.914275	-9.750216
319.651	7.746664	-9.17817
320.4466	6.700539	-8.387092
321.2423	5.82585	-7.381277
322.0379	5.144544	-6.492146
322.8336	4.727572	-5.721011
323.6292	4.468063	-5.027142
324.4249	4.257902	-4.529324
325.2205	4.04547	-4.191181
326.0162	3.817266	-3.89829
326.8118	3.59825	-3.472334
327.6075	3.267965	-2.958126
328.4031	2.913844	-2.503283
329.1987	2.660439	-2.118887
329.9944	2.520897	-1.700653
330.79	2.454879	-1.263411
331.5857	2.381714	-0.9320381
332.3813	2.285701	-0.6049409
333.177	2.217627	-0.2605455
333.9726	2.154495	0.0467533
334.7683	2.060581	0.3409068
335.5639	2.005897	0.6421768
336.3596	1.983066	0.931185
337.1552	1.897269	1.19875
337.9509	1.831554	1.43884
338.7465	1.826224	1.689288
339.5421	1.831553	1.988268
340.3378	1.828325	2.236446
341.1334	1.821914	2.433723
341.9291	1.780509	2.664257
342.7247	1.772427	2.912105
343.5204	1.781242	3.13083
344.316	1.774277	3.357572
345.1117	1.784523	3.617035
345.9073	1.78197	3.826134
346.703	1.783178	4.0422
347.4986	1.779127	4.302876
348.2943	1.777246	4.561566
349.0899	1.768785	4.823247
349.8856	1.801281	5.030883
350.6812	1.854384	5.264823
351.4768	1.877362	5.520036
352.2725	1.900314	5.730161
353.0681	1.934303	5.957421
353.8638	1.974987	6.211301
354.6594	2.04456	6.476064
355.4551	2.090172	6.738483
356.2507	2.113376	7.007867
357.0464	2.170134	7.273019
357.842	2.26611	7.515693
358.6377	2.317958	7.814232
359.4333	2.358713	8.103133
360.229	2.454628	8.376922
361.0246	2.557897	8.698788
361.8203	2.652721	9.014677
362.6159	2.782228	9.344167
363.4115	2.894416	9.696633
364.2072	3.030487	10.01464
365.0028	3.171575	10.36016
365.7985	3.322432	10.73073
366.5941	3.519247	11.11588
